symbol,company_name,open_price,high_price,low_price,close_price,volume,price_date
BBCA.JK,Bank Central Asia,5544.313000324061,5614.70383005185,5531.891089195628,5540.17236328125,49445000,2020-01-02 00:00:00+07:00
BBCA.JK,Bank Central Asia,5589.8602294921875,5631.2666015625,5569.157043457031,5631.2666015625,47755500,2020-01-03 00:00:00+07:00
BBCA.JK,Bank Central Asia,5565.01607739421,5589.85989916829,5540.172255620128,5577.43798828125,27300000,2020-01-06 00:00:00+07:00
BBCA.JK,Bank Central Asia,5577.437488408754,5606.421944547477,5573.296851817508,5581.578125,45022500,2020-01-07 00:00:00+07:00
BBCA.JK,Bank Central Asia,5523.6098391595715,5585.71939507216,5523.6098391595715,5531.89111328125,53692500,2020-01-08 00:00:00+07:00
BBCA.JK,Bank Central Asia,5581.578125,5594.000034773739,5573.296851817508,5581.578125,40363500,2020-01-09 00:00:00+07:00
BBCA.JK,Bank Central Asia,5602.2813429368025,5651.968982342008,5556.734340148699,5569.15625,73362000,2020-01-10 00:00:00+07:00
BBCA.JK,Bank Central Asia,5581.578601336639,5598.141149115086,5577.4379643920265,5585.71923828125,67855000,2020-01-13 00:00:00+07:00
BBCA.JK,Bank Central Asia,5585.719424496225,5701.657262810453,5581.578787413574,5689.2353515625,93582000,2020-01-14 00:00:00+07:00
BBCA.JK,Bank Central Asia,5689.235927355751,5846.580152420904,5631.267002331749,5660.25146484375,75623500,2020-01-15 00:00:00+07:00
BBCA.JK,Bank Central Asia,5635.406147354015,5705.796966240876,5627.124874543796,5672.671875,88931500,2020-01-16 00:00:00+07:00
BBCA.JK,Bank Central Asia,5664.391517045454,5705.797887784091,5631.266420454545,5693.3759765625,38249500,2020-01-17 00:00:00+07:00
BBCA.JK,Bank Central Asia,5755.486127383184,5776.189314891756,5656.110827342035,5660.25146484375,93554500,2020-01-20 00:00:00+07:00
BBCA.JK,Bank Central Asia,5701.657360250046,5709.938634556872,5651.969714409087,5656.1103515625,103984500,2020-01-21 00:00:00+07:00
BBCA.JK,Bank Central Asia,5676.813023617393,5709.938117847108,5660.250476502535,5664.39111328125,94311500,2020-01-22 00:00:00+07:00
BBCA.JK,Bank Central Asia,5701.656844289679,5709.938117847108,5656.109839723821,5664.39111328125,87728000,2020-01-23 00:00:00+07:00
BBCA.JK,Bank Central Asia,5647.829125940712,5697.516772209985,5639.5478515625,5639.5478515625,69653500,2020-01-24 00:00:00+07:00
